Time,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:error,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:ok,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:timeout,function/execution_count.cloud_function.ALIGN_RATE.REDUCE_SUM.metric.type="cloudfunctions.googleapis.com/function/execution_count" 
            AND resource.type="cloud_function" 
            AND resource.labels.function_name="func-manager" 
            AND resource.labels.region="us-central1".project_id:stately-vector-311213.status:system error
Tue Apr 27 2021 17:56:00 GMT-0500 (Central Daylight Time),undefined,undefined,0.016666666666666666,undefined
Tue Apr 27 2021 19:55:00 GMT-0500 (Central Daylight Time),3.466666666666667,30.85,0.016666666666666666,undefined
Tue Apr 27 2021 19:56:00 GMT-0500 (Central Daylight Time),3.9,29.083333333333332,undefined,undefined
Tue Apr 27 2021 19:57:00 GMT-0500 (Central Daylight Time),2.216666666666667,31.216666666666665,0.016666666666666666,undefined
Tue Apr 27 2021 19:58:00 GMT-0500 (Central Daylight Time),1.95,15.55,0.016666666666666666,undefined
Tue Apr 27 2021 19:59:00 GMT-0500 (Central Daylight Time),0.6666666666666666,5.333333333333333,0.08333333333333333,undefined
Tue Apr 27 2021 20:00:00 GMT-0500 (Central Daylight Time),1,9.116666666666667,0.08333333333333333,undefined
Tue Apr 27 2021 20:01:00 GMT-0500 (Central Daylight Time),3.4833333333333334,25.233333333333334,0.016666666666666666,undefined
Tue Apr 27 2021 20:02:00 GMT-0500 (Central Daylight Time),3.7666666666666666,28.716666666666665,0.016666666666666666,undefined
Tue Apr 27 2021 20:03:00 GMT-0500 (Central Daylight Time),2.683333333333333,22.35,undefined,undefined
Tue Apr 27 2021 20:04:00 GMT-0500 (Central Daylight Time),0.4,4.6,0.08333333333333333,undefined
Tue Apr 27 2021 20:05:00 GMT-0500 (Central Daylight Time),1.25,8.733333333333333,0.08333333333333333,undefined
Tue Apr 27 2021 20:06:00 GMT-0500 (Central Daylight Time),0.75,5.35,0.06666666666666667,undefined
Tue Apr 27 2021 20:07:00 GMT-0500 (Central Daylight Time),0.8,6.55,0.08333333333333333,undefined
Tue Apr 27 2021 20:08:00 GMT-0500 (Central Daylight Time),2.55,26.316666666666666,0.016666666666666666,undefined
Tue Apr 27 2021 20:09:00 GMT-0500 (Central Daylight Time),1.6166666666666667,12.7,0.016666666666666666,undefined
Tue Apr 27 2021 20:10:00 GMT-0500 (Central Daylight Time),0.2,1.1833333333333333,0.1,undefined
Tue Apr 27 2021 20:11:00 GMT-0500 (Central Daylight Time),0.8666666666666667,8.416666666666666,0.08333333333333333,undefined
